"term","species","estimate","2%","10%","25%","75%","90%","98%"
"(Intercept)",NA,133.729752921232,114.664570844209,120.59816306861,128.696451546947,138.611259161225,147.205529570264,154.828381145651
"tx",NA,-7.35403434348835,-16.6115645278824,-13.8067965733557,-9.87823133763671,-4.79515497329562,-1.11478867235195,1.73169766430202
"chill1",NA,15.4407149442942,-4.06147942955743,2.9427049276375,10.7188179923588,20.1873471635539,27.7951010151466,34.0661271690562
"chill2",NA,8.17668531510347,-10.4076670804719,-3.97925516704912,3.59972050556513,12.8417975861296,20.0792389069663,26.2347131689256
"tx:chill1",NA,-3.17436921672539,-16.0106092900507,-12.0723746802915,-6.69181982853887,0.413589604786912,5.77031903909397,9.57694557130262
"tx:chill2",NA,-1.5558905121113,-14.7632358064048,-10.4586087899989,-5.19656835344024,2.07267244757049,7.48229945689867,11.7573738184179
"(Intercept)","ACESAC",-27.4116087840494,-51.5689472581914,-42.4610795436611,-33.0116313633446,-21.6611479051592,-13.1954692410224,-7.00647750526561
"(Intercept)","ALNRUG",7.36718258006012,-15.1374888672178,-7.24357340560541,1.62131296340923,13.1069072262417,22.0316785069312,29.3403243778375
"(Intercept)","BETPAP",26.610061100337,4.53828682721445,12.2241735254334,20.8329680404363,32.3511350420435,41.2261403281476,48.1682749354026
"(Intercept)","BETPOP",-7.95771563923281,-31.6763183472009,-22.6823582676366,-13.6236858467885,-2.21269964304951,6.82166484137483,13.5384002242126
"(Intercept)","CORRAC",-10.8548983315873,-34.6108773345615,-25.95821714307,-16.3114556694894,-5.16638681582921,3.34897063027331,10.0062432519398
"(Intercept)","SALPUR",14.7220623795702,-7.67259556725008,0.503149975243472,9.12610769787941,20.3578098686083,29.4563552240126,36.9189931845114
"(Intercept)","SORAME",-10.0970458308779,-32.8275976598315,-24.8383825581606,-15.6987798951896,-4.35767314596354,4.2684899813036,11.2667022816894
"(Intercept)","VIBDEN",7.34969315880457,-14.9339838333524,-7.1741848719342,1.8781029434448,13.1123172628782,21.8001598008886,28.9892942130071
"tx","ACESAC",0.995759214439311,-6.9973886432962,-3.99434908114717,-0.702717065618476,2.38412135544029,7.75457335286432,12.2258436058184
"tx","ALNRUG",-1.8064792017744,-14.3144051413332,-9.18033687840525,-3.24442141071736,0.231761612053095,2.53531200505526,5.08273696721735
"tx","BETPAP",0.78275766143553,-6.85985735172091,-3.93612151122682,-0.824596870607341,2.09677293880701,7.02452121927161,11.3975800663788
"tx","BETPOP",-0.411457746751964,-9.97909339870942,-6.02309837370342,-1.83449829293426,1.01202507901822,4.61767517474679,8.96064794419233
"tx","CORRAC",-0.316532918431817,-9.66616917563133,-5.83506150427607,-1.59487758355402,1.0368541757262,4.69399584834768,8.92659992692962
"tx","SALPUR",-0.640484033467128,-10.5210626551459,-6.225469265944,-1.86550010551197,0.749412769436136,3.98539893138464,7.19386629396195
"tx","SORAME",1.2267869391885,-6.92227349646361,-3.44439688998752,-0.519781790459737,2.71676136110516,7.84309162974926,12.0484993360851
"tx","VIBDEN",0.319913627857147,-8.89996099365555,-4.62604772377616,-0.937731749370171,1.57843124043779,5.70720507238773,9.4484134474615
"chill1","ACESAC",-14.3473047204977,-37.9260486182948,-29.9255774837305,-20.1975183237707,-8.15373118812322,0.726135486052994,6.77624060165867
"chill1","ALNRUG",5.58081151365892,-17.2991272106346,-9.91659085099756,-0.507637526648454,11.5849487587968,21.153986900603,29.8814264301064
"chill1","BETPAP",7.04712994331778,-14.9127967716468,-7.40521253474208,1.13632099030944,12.795141209108,22.3512506328603,30.0802558160112
"chill1","BETPOP",15.753102845838,-5.18608902124715,1.17486889663929,9.47800440982899,21.6901743111828,31.5682224128937,40.553097537182
"chill1","CORRAC",19.026667077064,-2.12266677684383,4.26143543395689,12.6697567385696,24.9524917510786,35.1290979655578,43.9693159897341
"chill1","SALPUR",-11.3230234301901,-35.4999109119501,-27.1943039841396,-17.1505831647348,-5.26844323961441,3.26420488378966,10.726640661658
"chill1","SORAME",-7.36586301027327,-30.1307659136042,-22.3881317108288,-13.1644659834544,-1.33492863567219,7.12755847978228,14.1294586717263
"chill1","VIBDEN",-13.5293623556073,-37.9335407806359,-29.4495292355127,-19.3950427234327,-7.35589646312711,1.22503520334256,8.04803166276358
"chill2","ACESAC",-4.03865758976919,-26.5339743255876,-18.9528634433261,-10.1567247822,1.83969228293614,11.2177013097327,19.0495728297466
"chill2","ALNRUG",12.6157335539926,-8.28001868508139,-1.90178219991409,6.19743499358685,18.4737307826214,28.4670943966439,36.9335012798348
"chill2","BETPAP",6.0121321649632,-15.8586672851287,-8.66513590237665,0.0533855468287319,11.976547519777,20.7508610206598,29.2775565028418
"chill2","BETPOP",18.5263970582403,-1.95185842816539,3.77633805997229,12.2023202517244,24.5266888538139,34.7360307554778,42.8824901593944
"chill2","CORRAC",-0.47804913212169,-22.2248418792989,-15.0127819729711,-6.37380365605355,5.26809019018479,14.3586797922665,21.3625652085322
"chill2","SALPUR",3.37772231474369,-17.6995125646419,-11.4376032053728,-2.21655016191006,8.98915004749827,17.9511921409429,25.1548026369039
"chill2","SORAME",-22.3909614255562,-46.2432359453941,-38.3633592460729,-28.5354300361603,-15.8520892279113,-7.32905307577395,-1.34269591819669
"chill2","VIBDEN",-12.5433116267759,-36.659968618303,-27.7221118457412,-18.2004743850703,-6.40593474565958,1.79235297378361,8.51111447875118
"tx:chill1","ACESAC",0.780576571173853,-12.5263127643315,-7.19286567888309,-1.37689802618224,2.80023185453515,9.88410595230233,16.3418553259712
