"term","species","estimate","2%","10%","25%","75%","90%","98%"
"chill1","ALNRUG",-3.36408115153003,-20.0552565178052,-13.7391275550768,-5.84696817733582,0.0281895804089945,2.55170044896416,5.57572509194636
"chill1","BETPAP",-1.12983211436128,-14.12727482336,-8.89162456005717,-2.98849818826683,0.835943384727971,5.20634947565605,9.26460316528221
"chill1","BETPOP",0.919833866015403,-8.6491427435713,-4.71191618663512,-0.958732830248286,2.50372497481976,8.03182094257943,13.5731754374801
"chill1","CORRAC",2.70643239953953,-6.73988263852847,-3.46105323245038,-0.1963222991321,4.94027994760741,12.4647384924276,19.9708315040178
"chill1","SALPUR",0.294184218688175,-11.7932222669119,-7.0056510292036,-1.78914821896129,2.25399380563104,8.24415560456402,13.1386382068962
"chill1","SORAME",0.463947055856288,-10.5395626907294,-6.25826047175857,-1.47440795251694,2.24007538367141,7.99199535990533,13.6927468696025
"chill1","VIBDEN",-0.608220722981636,-12.3351822680431,-7.66112358583154,-2.18021817092254,1.19654757843296,5.37901104633039,9.63296325787211
"chill2","ACESAC",0.222659470624712,-8.74035537921375,-4.9226904125429,-1.17921147039043,1.51804725819752,5.73956740804642,10.8167061891468
"chill2","ALNRUG",-1.1962421805988,-14.3516273865871,-8.61117102859206,-2.63784512243132,0.660554938117534,4.0511012972496,7.72789089630518
"chill2","BETPAP",1.19181873526254,-7.86353223983329,-3.74894626978802,-0.600633907642508,2.60005511975299,8.07668802335867,12.9272515370115
"chill2","BETPOP",0.666415120576747,-7.83978723261774,-4.26904594773041,-0.847305194926132,1.86529307500452,6.92795385874843,12.1309196176986
"chill2","CORRAC",0.133903171890632,-10.1108236862262,-5.92156688880738,-1.33264536172528,1.65744258008129,6.23807898532053,10.7832157216574
"chill2","SALPUR",-1.87393432413358,-15.7713151447745,-10.4099915741913,-3.58876069918137,0.41756306645097,3.67991326683219,7.34170377939971
"chill2","SORAME",-0.517209166959396,-13.4054427357019,-7.28111750374051,-1.95524537734654,1.23362065979245,5.15621518703117,8.90590081021381
"chill2","VIBDEN",0.965695234353089,-7.33110774773067,-3.92071141546708,-0.655524870257012,2.22021630146401,7.66547461017017,12.6285185029579
"tx:chill1","ACESAC",-1.96563600696797,-22.3924095660415,-14.4663345140068,-5.50537053488918,1.55679478602222,8.68942106706739,15.2750702734557
"tx:chill1","ALNRUG",-6.55286219496703,-31.1704965178203,-22.0765998909423,-11.3784318750295,-0.501677926371907,4.21671628016157,9.5335751029959
