"term","species","estimate","2%","10%","25%","75%","90%","98%"
"chill1","ALNRUG",-1.68942437041197,-12.1035163285536,-8.02966848847403,-3.20321437697174,0.192418139716346,2.52386391468907,5.06136909320655
"chill1","BETPAP",-0.84685317483399,-10.4437336359529,-6.05486997693746,-1.99843983399405,0.504978515322208,3.04288295811362,6.2419694654959
"chill1","BETPOP",-0.289116483259611,-8.66011643042377,-4.93022878989228,-1.35924031145165,0.861463379274017,3.95145579063341,6.88927093717682
"chill1","CORRAC",-0.402798566536217,-8.4894482002857,-5.09355120299149,-1.45477283401249,0.757087440101672,3.51380337620282,6.81327912107511
"chill1","SALPUR",-0.278560999476958,-8.45441474210757,-5.30791584270969,-1.55356375824547,0.994154647722458,4.51727833213563,7.35308956125508
"chill1","SORAME",1.22308165790755,-5.6512220315472,-2.68749974348007,-0.318832824527412,2.54448835090138,6.82478305703281,10.3767627483829
"chill1","VIBDEN",0.508428876378021,-6.18506314907552,-3.58480079343832,-0.721181836547675,1.64015622849521,5.31439860255334,8.42436628409763
"chill2","ACESAC",0.19094842078575,-8.10071322871803,-4.56083587921686,-1.18398301008138,1.48476715764621,5.32036741185646,8.60966587293794
"chill2","ALNRUG",-0.649065178223599,-10.6538852311092,-6.76699218521924,-2.30981928595003,0.981490994851341,4.76303084021463,8.17698335323794
"chill2","BETPAP",1.45159413445861,-5.78033482405907,-2.83686866088363,-0.269849894219278,2.93561862428989,7.36620392729407,11.3721511989226
"chill2","BETPOP",-1.25931132788899,-11.3180340674623,-7.07812943619336,-2.6077262884177,0.34398228043218,2.99706134513362,5.57811307329144
"chill2","CORRAC",1.63224572491566,-4.88927014560693,-2.33071688711112,-0.206935905705826,3.09594257216327,7.60352005477238,12.2806931365454
"chill2","SALPUR",-2.99259895557469,-14.272330415166,-10.7301783378761,-5.03044294180487,-0.165251086104466,1.48777474507246,3.49228682156572
"chill2","SORAME",-0.0210656580036982,-9.17375761524534,-5.25100222786468,-1.4075135863605,1.54029210248475,4.93111078276262,7.73115322892408
"chill2","VIBDEN",1.38755837641245,-5.48670363849851,-2.75971109359109,-0.270877778537697,2.82091092632378,7.23188886048489,10.9130619526447
"tx:chill1","ACESAC",-0.94876324831102,-12.0816254850178,-7.33972885898843,-2.27013662066411,0.700385849729315,3.82332903765692,7.51293898798391
"tx:chill1","ALNRUG",-1.66650685475169,-14.6819500008754,-9.23641573860599,-3.32849473895722,0.406518846562084,3.43806569476447,6.85611521212316
"tx:chill1","BETPAP",-1.93640132957813,-14.6308250730992,-9.59892542283506,-3.59965649349428,0.259971871463564,2.51162318162777,5.38285099006697
"tx:chill1","BETPOP",0.980065269919083,-7.38626513859174,-3.76923630733233,-0.624415958149051,2.30269181774639,7.39208540766092,12.5123861969284
"tx:chill1","CORRAC",0.588989052005808,-8.0352554754276,-4.43827136584964,-0.932929435151827,1.93298398471586,6.62225453079149,11.1718375498592
"tx:chill1","SALPUR",0.6591247400508,-8.9064959094126,-5.07879212848545,-1.0986229711248,2.23884063775184,7.32611613375042,12.179434167989
