"id","budburst","leafout","tx","chill","lo.ht","thick1","thick2","tough1","tough2","budset","shoots","roots","ht.final","mg.cm2","phenol","chlavg","ht.diff","meristem","chill1","chill2","species","dvr","tough","thick","tough.date","tough.age","bset","budsetdoy","gslength","rgr_final","folin","species.name","drought","drought1","drought2"
"SALPUR_86",7,30,1,2,25.8,0.126,0.149,0.59,0.37,NA,NA,NA,NA,0.0259,"","41.575",38.6,1,1,0,"SALPUR",23,0.48,0.1375,177,151.2,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_96",9,30,0,2,24.2,0.154,0.159,0.62,0.63,NA,NA,NA,NA,0.024,"","40",65.6,1,1,0,"SALPUR",21,0.625,0.1565,177,152.8,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_106",11,32,1,2,20.4,0.143,0.127,0.53,0.53,NA,NA,NA,NA,0.0142,"","31.4",57.9,1,1,0,"SALPUR",21,0.53,0.135,177,156.6,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_116",14,28,0,2,27.8,0.137,0.159,0.77,0.75,NA,NA,NA,NA,0.0217,"","38.05",54.6,1,1,0,"SALPUR",14,0.76,0.148,177,149.2,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_126",11,28,1,2,29.6,0.129,0.156,0.3,0.62,NA,NA,NA,NA,0.0176,"","34.475",48.6,1,1,0,"SALPUR",17,0.46,0.1425,177,147.4,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_136",9,21,0,2,28.6,0.149,0.161,0.51,0.39,NA,NA,NA,NA,0.0316,"","46.05",60.1,1,1,0,"SALPUR",12,0.45,0.155,177,148.4,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_146",9,28,1,2,25.6,0.131,0.16,0.52,0.82,NA,NA,NA,NA,0.0268,"","42.25",65.8,1,1,0,"SALPUR",19,0.67,0.1455,177,151.4,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_156",11,21,0,2,25.4,0.126,0.173,0.53,0.51,NA,NA,NA,NA,0.027,"","42.4",47.5,1,1,0,"SALPUR",10,0.52,0.1495,177,151.6,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_166",11,30,1,2,25.2,0.129,0.132,0.37,0.47,NA,NA,NA,NA,0.0257,"","41.4",23.6,1,1,0,"SALPUR",19,0.42,0.1305,177,151.8,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_18",9,21,0,3,26,0.131,0.173,0.53,0.5,NA,NA,NA,NA,0.029,"","44.025",46.3,1,0,1,"SALPUR",12,0.515,0.152,163,137,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
