"id","budburst","leafout","tx","chill","lo.ht","thick1","thick2","tough1","tough2","budset","shoots","roots","ht.final","chill1","chill2","species","dvr","tough","tough.date","tough.age","bset","budsetdoy","gslength","rgr_final","thick"
"ACESAC_38",29,42,0,3,28.8,0.093,0.125,0.4,0.58,NA,NA,NA,NA,0,1,"ACESAC",13,0.49,163,134.2,NA,NA,NA,NA,0.109
"ACESAC_48",35,49,1,3,16.8,0.09,0.118,0.29,0.34,NA,NA,NA,NA,0,1,"ACESAC",14,0.315,163,146.2,NA,NA,NA,NA,0.104
"ACESAC_58",49,56,0,3,28.8,0.098,0.129,0.2,0.32,NA,NA,NA,NA,0,1,"ACESAC",7,0.26,163,134.2,NA,NA,NA,NA,0.1135
"ACESAC_68",29,44,1,3,34.8,0.101,0.105,0.27,0.34,NA,NA,NA,NA,0,1,"ACESAC",15,0.305,163,128.2,NA,NA,NA,NA,0.103
"ACESAC_78",44,53,0,3,20.8,0.104,0.109,0.36,0.19,NA,NA,NA,NA,0,1,"ACESAC",9,0.275,163,142.2,NA,NA,NA,NA,0.1065
"ACESAC_88",29,44,1,3,23.8,0.108,0.105,0.28,0.21,NA,NA,NA,NA,0,1,"ACESAC",15,0.245,163,139.2,NA,NA,NA,NA,0.1065
"ACESAC_98",46,53,0,3,20.1,0.089,0.094,0.22,0.29,NA,NA,NA,NA,0,1,"ACESAC",7,0.255,163,142.9,NA,NA,NA,NA,0.0915
"ACESAC_108",35,49,1,3,33.5,0.095,0.094,0.36,0.33,NA,NA,NA,NA,0,1,"ACESAC",14,0.345,163,129.5,NA,NA,NA,NA,0.0945
"ACESAC_118",32,44,0,3,27,0.1,0.122,0.34,0.44,NA,NA,NA,NA,0,1,"ACESAC",12,0.39,163,136,NA,NA,NA,NA,0.111
"ACESAC_128",42,50,1,3,28.8,0.122,0.117,0.36,0.47,NA,NA,NA,NA,0,1,"ACESAC",8,0.415,163,134.2,NA,NA,NA,NA,0.1195
"ACESAC_138",32,42,0,3,33,0.097,0.099,0.33,0.31,NA,NA,NA,NA,0,1,"ACESAC",10,0.32,163,130,NA,NA,NA,NA,0.098
"ACESAC_148",29,56,1,3,31.1,0.097,0.093,0.43,0.46,NA,NA,NA,NA,0,1,"ACESAC",27,0.445,163,131.9,NA,NA,NA,NA,0.095
"ACESAC_158",39,60,0,3,19,0.103,0.093,0.29,0.32,NA,NA,NA,NA,0,1,"ACESAC",21,0.305,163,144,NA,NA,NA,NA,0.098
"ACESAC_168",39,53,1,3,24.3,0.09,0.094,0.22,0.31,NA,NA,NA,NA,0,1,"ACESAC",14,0.265,163,138.7,NA,NA,NA,NA,0.092
"ALNRUG_14",29,43,0,1,30,0.162,0.119,0.36,0.35,NA,NA,NA,NA,0,0,"ALNRUG",14,0.355,176,146,NA,NA,NA,NA,0.1405
"ALNRUG_24",29,50,1,1,31.8,0.186,0.172,0.39,0.35,NA,NA,NA,NA,0,0,"ALNRUG",21,0.37,176,144.2,NA,NA,NA,NA,0.179
"ALNRUG_34",29,48,0,1,20.2,0.095,0.085,0.33,0.31,NA,NA,NA,NA,0,0,"ALNRUG",19,0.32,176,155.8,NA,NA,NA,NA,0.09
"ALNRUG_44",24,45,1,1,29.4,0.085,0.084,0.53,0.34,NA,NA,NA,NA,0,0,"ALNRUG",21,0.435,176,146.6,NA,NA,NA,NA,0.0845
"ALNRUG_54",24,50,0,1,32.6,0.151,0.161,0.41,0.4,NA,NA,NA,NA,0,0,"ALNRUG",26,0.405,176,143.4,NA,NA,NA,NA,0.156
