"term","species","estimate","2%","10%","25%","75%","90%","98%"
"(Intercept)",NA,30.9597938808338,24.3818036779498,26.3597446559611,29.2103550396884,32.7428492070527,35.502270390048,37.8924353695244
"tx",NA,-0.353224696567001,-2.15618756371276,-1.60528644906618,-0.876652864389988,0.151267581900825,0.917605272297171,1.48484422713089
"chill1",NA,-0.0603216111378696,-2.07089458082807,-1.42410487462235,-0.615468915418004,0.485532309084643,1.30261254037178,1.92150370324681
"chill2",NA,0.433592009403161,-1.968632086553,-1.02808084165591,-0.12480282208123,1.03534150922089,1.85748203670236,2.57591923725798
"tx:chill1",NA,-1.03870455876258,-3.75774135675956,-2.89789657186719,-1.81008118583473,-0.258880178863774,0.838438912572757,1.68030225852726
"tx:chill2",NA,-2.10953933363301,-4.73638873947251,-3.87885140148168,-2.80799903578375,-1.39684717241801,-0.363833378141512,0.314381625896572
"(Intercept)","ACESAC",-5.83917019568542,-12.6457730908083,-10.4772777403486,-7.66163661248373,-4.06039698903407,-1.25497036162009,1.08352145338167
"(Intercept)","ALNRUG",5.66218290109951,-1.3328651406007,0.96227029740373,3.81381721871948,7.48434856575177,10.3452538800366,12.3958181742058
"(Intercept)","BETPAP",-2.33135339519849,-9.19787768767183,-6.97948747661121,-4.12784848325746,-0.476403520498148,2.28958393526612,4.50492435529951
"(Intercept)","BETPOP",0.678932094207095,-6.50305291740056,-3.98998309426088,-1.11751380264071,2.48235183198476,5.32652498648447,7.54383798644697
"(Intercept)","CORRAC",0.96304942736571,-5.83955623703725,-3.67887455732201,-0.882473318326499,2.80758093217662,5.60815821768746,7.89195746875149
"(Intercept)","SALPUR",12.2394095025445,5.24791361040187,7.55000173098589,10.3714910858328,14.0501025896321,16.8934256483736,19.1380600748192
"(Intercept)","SORAME",-7.21090847782949,-14.0646108859343,-11.9040471926974,-9.04811282639419,-5.37644653273374,-2.60058091701976,-0.496057687534563
"(Intercept)","VIBDEN",-4.83139956374899,-11.9844638597362,-9.46173238312904,-6.66301325136798,-2.98068041040755,-0.195288932419912,2.01437698186597
"tx","ACESAC",0.0421919068245186,-1.77025437834098,-0.90450681174035,-0.222206361041175,0.30499422207164,1.03387469045508,1.81454921628436
"tx","ALNRUG",-0.0156763630039844,-1.91306147942841,-1.10135009987444,-0.303901615299922,0.256975886574827,1.13453878560933,1.90916785941148
"tx","BETPAP",-0.194172072767056,-2.44375919557038,-1.40084093594213,-0.440906016469029,0.130297693896211,0.693574024637865,1.34015999351652
"tx","BETPOP",-0.103623608787437,-1.99180800923208,-1.21599281403939,-0.361394742657048,0.179685109628806,0.877538698946547,1.54100351475699
"tx","CORRAC",0.0749396134853069,-1.6823290731595,-0.911626453705365,-0.205457971014562,0.340197600751756,1.17667331511607,2.02651031994513
"tx","SALPUR",-0.454845776223867,-3.06387354663182,-2.09494267142266,-0.846321945645277,0.0339541810894131,0.584232334972202,1.27820209771472
"tx","SORAME",0.3053992939746,-1.33267939054116,-0.649370974940247,-0.067292597039826,0.62670452743638,1.69565475081115,2.47782922722637
"tx","VIBDEN",0.301484876769112,-1.22068033716516,-0.58453311525742,-0.0579007579074741,0.585943876124572,1.61949543537784,2.55206684150314
"chill1","ACESAC",0.353577478992962,-1.80627664644975,-0.967831284161341,-0.110172713240691,0.796184531834471,1.97858127214092,3.05206747516267
"chill1","ALNRUG",-0.600234096610823,-3.8070440596558,-2.53904495729044,-1.0854752749364,0.023589165417085,0.682508815014766,1.34948988319984
"chill1","BETPAP",0.605943320169997,-1.20555533601535,-0.561453926571667,-0.00718603084268178,1.0940268330988,2.48258945238866,3.61851610322826
"chill1","BETPOP",0.305832746791978,-1.76026597662997,-0.969152483370113,-0.16610118585784,0.703764505517645,2.02060322641316,3.23476717279362
"chill1","CORRAC",-0.383774051988422,-3.36656146692515,-2.16316486253034,-0.811580338329778,0.116746451969797,0.947149505799362,1.74546518616216
"chill1","SALPUR",-0.727415201171331,-3.84425192475493,-2.75605758558696,-1.33499080467882,-0.00635472752649483,0.669496363758112,1.52408751331676
"chill1","SORAME",0.107729932341863,-2.51534351973905,-1.40550372146148,-0.327521647050603,0.576465401148809,1.64860799710317,2.77167594066372
"chill1","VIBDEN",0.333752698614847,-1.91139195767316,-0.978344946302237,-0.13580642921968,0.786149851198155,1.9396755942921,2.94631363322394
"chill2","ACESAC",0.0363199871817834,-2.457799751853,-1.51176720765733,-0.43240406628046,0.47341708381752,1.60944978568518,2.84570818729326
"chill2","ALNRUG",0.333279442866959,-2.20149532838289,-1.17670245882915,-0.207823355637658,0.849722875177994,2.146459847788,3.30895738405202
"chill2","BETPAP",0.178826865044927,-2.29002006941391,-1.35517827403778,-0.309857807990387,0.654407982890497,1.861702785445,3.04113376020791
"chill2","BETPOP",0.103395441236059,-2.40926699370766,-1.42450305200011,-0.384663990482374,0.560610183228445,1.73771974801887,2.93556714878424
"chill2","CORRAC",1.11925942872006,-0.74736617623235,-0.268839141619933,0.151124026806909,1.82163137138019,3.4580000896183,4.87588312695605
"chill2","SALPUR",-0.31423679720511,-3.48877877860554,-2.23556933213371,-0.884312158348363,0.290149635183006,1.3537351915103,2.23311406977499
"chill2","SORAME",-0.666383519578959,-3.88653604242353,-2.68112416482152,-1.24368924116077,0.0134635091134399,0.727552312364959,1.5959230325742
"chill2","VIBDEN",-0.710058962114562,-3.86466961019698,-2.77640935821182,-1.2879359708354,0.00237394703768097,0.597591536920266,1.33929575784639
"tx:chill1","ACESAC",0.154343841224581,-2.8652736192929,-1.63869167395093,-0.377914842314877,0.700731782528898,2.05439271459077,3.35550515871257
