"term","species","estimate","2%","10%","25%","75%","90%","98%"
"chill1","VIBDEN",-0.00284811892341837,-0.0531659771779548,-0.0311357463554862,-0.00915481639067561,0.00447116230285987,0.0204901369221555,0.0410185172539888
"chill2","ACESAC",-0.0299424129143824,-0.115470817788504,-0.0870289115351038,-0.0482232176222386,-0.00643048992697701,0.0084889737753824,0.0249413490789706
"chill2","ALNRUG",0.0152152911812517,-0.0463159638986431,-0.0237487378852041,-0.00125075192381218,0.0307858804465919,0.0642630673212865,0.0949096241643743
"chill2","BETPAP",0.00821420997233051,-0.0593462145211094,-0.032434994315604,-0.00605989946461318,0.0222503426782646,0.0539023529821556,0.0821992341906718
"chill2","BETPOP",0.00978164547661986,-0.0516041225003484,-0.0287097515197335,-0.00452098945305703,0.0235083766492476,0.0539664353437681,0.0832325248674949
"chill2","CORRAC",0.00662845929553543,-0.0616932835557219,-0.0338377449948451,-0.00774236422828261,0.0208687133489862,0.0513044284378424,0.0809662442444397
"chill2","SALPUR",-0.0160841295178936,-0.0920781338715616,-0.0657397692891399,-0.0320991847284809,0.00072940482346537,0.0235470590977259,0.0498603413195556
"chill2","SORAME",0.0310041454425418,-0.0244461162782852,-0.00902130045593636,0.00642177865103638,0.0499642457814874,0.0915036450341344,0.126233162456842
"chill2","VIBDEN",-0.0208572372940365,-0.104250455190461,-0.0728904847932491,-0.0382144602824692,-0.000765574192044065,0.0226589922253855,0.0462692394937958
"tx:chill1","ACESAC",-0.00098758161170605,-0.0621659963726916,-0.0342034528072784,-0.00896907380171469,0.00752241968305679,0.0310846331432503,0.0535674186511359
"tx:chill1","ALNRUG",0.000527620511959798,-0.0557869338513117,-0.0325944987762361,-0.00735399644891152,0.00815117543493717,0.0331840823193124,0.0610872708178909
"tx:chill1","BETPAP",0.000408220828998749,-0.0585870543497337,-0.0320157639489243,-0.00745175866417805,0.00835655798855122,0.0326192195784228,0.0540199407245717
"tx:chill1","BETPOP",0.00902013864346366,-0.033250976635867,-0.0167712152192642,-0.00200817003286492,0.0171716552559847,0.0487026891778796,0.0802540326224802
"tx:chill1","CORRAC",0.00569473048579864,-0.0441078188582655,-0.0229117533150364,-0.00360267043800395,0.0131000403310315,0.0443276670806206,0.0751974640108512
"tx:chill1","SALPUR",-0.00297897209297647,-0.0645629497862008,-0.0393985938252348,-0.0113435582697178,0.0057924155308745,0.0290712664814053,0.0579642026845657
"tx:chill1","SORAME",-0.00651102856427071,-0.0786508128826657,-0.0465725219273205,-0.0152100475435422,0.00352134533132657,0.0228070084356819,0.0434325769299552
"tx:chill1","VIBDEN",-0.0067146603535488,-0.0759605146567622,-0.048638860620384,-0.0165285963360105,0.00419595618879544,0.026785663463681,0.0483778561179847
"tx:chill2","ACESAC",-0.0115879692477297,-0.101645527689005,-0.0666491911888601,-0.0242343922356218,0.00398735757804499,0.0259743602230269,0.0516048233325168
"tx:chill2","ALNRUG",0.0170391629722474,-0.0425742444230578,-0.0201588586725769,-0.000537648492117075,0.0309215892755289,0.0735521876137079,0.108824714651388
"tx:chill2","BETPAP",0.0133958699456299,-0.0467288456765626,-0.0237534645138373,-0.00202790295000913,0.0265200227516973,0.0684693604193634,0.103192746232771
"tx:chill2","BETPOP",-0.000263480889541917,-0.0755483841518931,-0.0448049309780681,-0.0116124224886786,0.0117086712663748,0.0423410480824978,0.0699593865610592
"tx:chill2","CORRAC",0.013525180666794,-0.0463075377844993,-0.0238875604316282,-0.0022323362399259,0.0269578805536893,0.0657748590178851,0.100860445626916
"tx:chill2","SALPUR",-0.0115619722250213,-0.0964469458567164,-0.0653830102974775,-0.0254536972279434,0.00327861677967758,0.0283351130192015,0.0592245261080938
"tx:chill2","SORAME",0.00038506430378283,-0.082089067653921,-0.0469853710959435,-0.0118516102872032,0.0131190319755921,0.0464679235857224,0.0766972827597383
"tx:chill2","VIBDEN",-0.0197494074958037,-0.115609574717001,-0.0796294653867577,-0.0373908454459822,0.000458532719164532,0.0202645504433071,0.0465431726620919
